model_slug,model_provider,model_name,perturbation_id,item_id,dataset,perturbation_type
openai_gpt55,openai,gpt-5.5,1e7d4476dbf9b7ac,8404a07b-4ba1-476c-a22c-a20e084b4153,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,9222d34ed8d5963f,161fdee9-04a6-408c-9cc8-f4c6dbe6ce77,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,eaee5e9bb29b642a,269074dc-9495-484b-b2f9-0f0943c0f816,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,ecd64971d26f316b,cc2902e3-38d3-40cc-83cc-639313d0e897,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,516ae2c3dbd850a3,dbc1c924-1d94-41d8-b164-4c72531be7ce,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,8b59bcd3bcc56e6b,575c4ded-840f-425d-bce7-204a94d5ce0d,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,c1317e1716a943a4,6bc43acb-3f76-47b2-8822-20edd1f0969c,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,9c2bc53a42d09e45,61e009f5-30fa-4bb0-863a-6e7595f4f58e,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,048698f90ef5f94c,591ba557-39cb-46a0-82e9-a58510c997a6,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,77a79a143c07c3a0,c403b14b-f0e2-453d-97b8-38e04d59845a,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,d70327635301cac1,9d4797b3-b8d1-4fc6-8e1e-b98ab5d5e2cb,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,8bd06b207659daac,fd328fd9-829b-486c-9abf-d426e0eb44ac,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,b7444abad48cfcff,0e073591-b3e7-4dc8-94d0-dc5aa93ca35c,healthbench,context_uncertainty
openai_gpt55,openai,gpt-5.5,850bd266a0e4e4bd,a0ad6f59-1f8f-4c80-9483-3db7c769d0f3,healthbench,reworded
openai_gpt55,openai,gpt-5.5,d5f58c19384c3ea3,PMC11647657,medrbench,full_information
openai_gpt55,openai,gpt-5.5,6c85cabdf90cd1c2,PMC11365461,medrbench,full_information
openai_gpt55,openai,gpt-5.5,71dac0ac2c0549f4,PMC11475090,medrbench,full_information
openai_gpt55,openai,gpt-5.5,e7a3a2b65bcb8830,PMC11417591,medrbench,full_information
openai_gpt55,openai,gpt-5.5,d28055612371291b,PMC11427117,medrbench,full_information
openai_gpt55,openai,gpt-5.5,491c4ec28302a8dc,PMC11438534,medrbench,full_information
openai_gpt55,openai,gpt-5.5,bcbdfc04450e72bd,PMC11606182,medrbench,full_information
openai_gpt55,openai,gpt-5.5,1bad4d90e847cf6b,PMC11460368,medrbench,full_information
openai_gpt55,openai,gpt-5.5,a082fe8207baeb00,PMC11482487,medrbench,full_information
openai_gpt55,openai,gpt-5.5,7ed0631a7655942d,PMC11535983,medrbench,full_information
openai_gpt55,openai,gpt-5.5,fe8017bf78777615,PMC11585741,medrbench,full_information
openai_gpt55,openai,gpt-5.5,bad7d3586a670bee,PMC11488404,medrbench,full_information
openai_gpt55,openai,gpt-5.5,aeb495b476da72f4,PMC11416352,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,07b01f57abd2d9b8,PMC11366209,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,0e97a467157c85a4,PMC11570897,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,2ca9aacaa0848c01,PMC11457949,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,625ac825231f6907,PMC11587891,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,febb720632db707d,PMC11421877,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,54a65723a31662f7,PMC11401631,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,3ed12adfdb581d5a,PMC11439475,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,8ea4efc04480c76f,PMC11648018,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,a475414f9ac3de7e,PMC11648041,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,fb78efbf08569b35,PMC11546011,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,89f6b72a462216d2,PMC11604252,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,ab3e30903d44f4c3,PMC11541943,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,c17a10ec197d0791,PMC11446498,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,f3779f357f6416a7,PMC11436284,medrbench,missing_ancillary_tests
openai_gpt55,openai,gpt-5.5,4811a406865bf854,PMC11499305,medrbench,reworded
openai_gpt55,openai,gpt-5.5,4095c946051963ef,PMC11415138,medrbench,reworded
openai_gpt55,openai,gpt-5.5,349bf8c8dc86439f,ba9821fc-952e-4a8c-a98c-d1c0f96dd510,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,ce15e88e5c690bb3,6950b9bc-3133-4226-b72b-3baf4945b409,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,bf9074a1c037f012,01027fb8-7621-4c2f-8691-b48f2dc55534,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,2b3cdf563a9e3578,7d8d0deb-b36d-4799-8981-d52b14046880,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,05429458a7083b2d,6ce73442-794e-4a4b-832f-84ee05470941,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,da590f70b53e2848,454abea2-1212-4ca5-b234-e91300e15e22,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,ce22e5afea3f48a4,07fb1c12-c0e9-45eb-afb6-52ce63c0dafc,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,29781bcac4230f20,f3c6a807-4f22-4919-94cd-4e7a062114cf,real_pocqi,decontextualized
openai_gpt55,openai,gpt-5.5,12432471dbf8aede,7deae12d-f2c9-4869-9470-4f1bfd70b86a,real_pocqi,decontextualized
