model_name,dataset,perturbation_type,n_paired_cells
claude-opus-4-8,healthbench,context_uncertainty,51
claude-opus-4-8,healthbench,reworded,3
claude-opus-4-8,medrbench,full_information,41
claude-opus-4-8,medrbench,missing_ancillary_tests,44
claude-opus-4-8,medrbench,reworded,11
claude-opus-4-8,real_pocqi,decontextualized,143
claude-opus-4-8,real_pocqi,reworded,7
gemini-3.5-flash,healthbench,context_uncertainty,51
gemini-3.5-flash,healthbench,reworded,3
gemini-3.5-flash,medrbench,full_information,41
gemini-3.5-flash,medrbench,missing_ancillary_tests,44
gemini-3.5-flash,medrbench,reworded,11
gemini-3.5-flash,real_pocqi,decontextualized,143
gemini-3.5-flash,real_pocqi,reworded,7
gpt-5.5,healthbench,context_uncertainty,51
gpt-5.5,healthbench,reworded,3
gpt-5.5,medrbench,full_information,41
gpt-5.5,medrbench,missing_ancillary_tests,44
gpt-5.5,medrbench,reworded,11
gpt-5.5,real_pocqi,decontextualized,143
gpt-5.5,real_pocqi,reworded,7
grok-4.3,healthbench,context_uncertainty,51
grok-4.3,healthbench,reworded,3
grok-4.3,medrbench,full_information,41
grok-4.3,medrbench,missing_ancillary_tests,44
grok-4.3,medrbench,reworded,11
grok-4.3,real_pocqi,decontextualized,143
grok-4.3,real_pocqi,reworded,7
