model_name,dataset,perturbation_type,n_pairs
claude-opus-4-8,healthbench,context_uncertainty,13
claude-opus-4-8,healthbench,reworded,1
claude-opus-4-8,medrbench,full_information,13
claude-opus-4-8,medrbench,missing_ancillary_tests,9
claude-opus-4-8,medrbench,reworded,4
claude-opus-4-8,real_pocqi,decontextualized,35
claude-opus-4-8,real_pocqi,reworded,5
gemini-3.5-flash,healthbench,context_uncertainty,12
gemini-3.5-flash,healthbench,reworded,1
gemini-3.5-flash,medrbench,full_information,12
gemini-3.5-flash,medrbench,missing_ancillary_tests,12
gemini-3.5-flash,medrbench,reworded,2
gemini-3.5-flash,real_pocqi,decontextualized,37
gemini-3.5-flash,real_pocqi,reworded,4
gpt-5.5,healthbench,context_uncertainty,13
gpt-5.5,healthbench,reworded,1
gpt-5.5,medrbench,full_information,12
gpt-5.5,medrbench,missing_ancillary_tests,15
gpt-5.5,medrbench,reworded,2
gpt-5.5,real_pocqi,decontextualized,33
gpt-5.5,real_pocqi,reworded,4
grok-4.3,healthbench,context_uncertainty,13
grok-4.3,healthbench,reworded,1
grok-4.3,medrbench,full_information,11
grok-4.3,medrbench,missing_ancillary_tests,11
grok-4.3,medrbench,reworded,3
grok-4.3,real_pocqi,decontextualized,37
grok-4.3,real_pocqi,reworded,4
